City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
253,Sao Joao Da Barra,BR,-21.6403,-41.0511,67.41,93,3,11.77,clear sky
254,Sorland,NO,67.667,12.6934,37.26,61,100,20.92,light rain
255,Athabasca,CA,54.7169,-113.2854,37.81,78,81,12.17,broken clouds
256,Gornyak,RU,50.9942,81.4661,51.28,22,0,12.08,clear sky
257,Matinhos,BR,-25.8175,-48.5428,61.25,78,5,4.59,clear sky
258,Sungaipenuh,ID,-2.0833,101.3833,80.92,53,100,5.3,overcast clouds
259,Zhengjiatun,CN,43.5064,123.5064,71.71,10,100,7.61,overcast clouds
260,Rawson,AR,-43.3002,-65.1023,67.12,50,53,18.28,broken clouds
261,Baherden,TM,38.4362,57.4316,76.55,56,98,8.48,overcast clouds
262,Carballo,ES,43.213,-8.691,56.62,60,18,2.04,few clouds
263,Bengkulu,ID,-3.8004,102.2655,84.97,62,99,2.57,light rain
264,Maceio,BR,-9.6658,-35.7353,72.84,94,75,3.44,mist
265,Lanzhou,CN,36.0564,103.7922,53.11,68,100,5.77,overcast clouds
266,Cimislia,MD,46.52,28.7842,55.54,36,15,8.16,few clouds
267,Antalaha,MG,-14.9003,50.2788,80.55,76,12,6.38,light rain
268,North Bend,US,43.4065,-124.2243,44.92,96,75,9.22,broken clouds
269,Vendome,FR,47.8,1.0667,54.9,91,0,9.64,clear sky
270,Hamilton,US,39.1834,-84.5333,52.88,82,0,4.61,clear sky
271,Richards Bay,ZA,-28.783,32.0377,70.99,80,32,15.5,light rain
272,Guerrero Negro,MX,27.9769,-114.0611,60.91,82,78,13.76,broken clouds
273,Tomatlan,MX,19.9333,-105.25,68.16,94,1,2.17,clear sky
274,Cumana,VE,10.4635,-64.1775,77.34,84,86,4.18,overcast clouds
275,Newport,GB,51.5877,-2.9984,56.25,85,100,6.87,overcast clouds
276,Forestville,US,38.8451,-76.875,46.31,93,100,18.41,overcast clouds
277,Fortuna,US,40.5982,-124.1573,48.65,90,100,0.0,overcast clouds
278,Rey Bouba,CM,8.6724,14.1786,87.04,50,100,3.2,overcast clouds
279,Umm Lajj,SA,25.0213,37.2685,86.77,29,5,14.65,clear sky
280,Gat,IL,31.61,34.7642,73.4,30,7,1.54,clear sky
281,Shimoda,JP,34.6667,138.95,66.56,80,100,13.2,overcast clouds
282,Preobrazheniye,RU,42.9019,133.9064,54.88,39,79,11.52,broken clouds
283,Qandala,SO,11.472,49.8728,91.76,50,8,5.59,clear sky
284,Southbridge,US,42.0751,-72.0334,45.66,74,100,3.0,overcast clouds
285,Verkhovazhye,RU,60.7472,42.0465,54.81,72,96,13.47,overcast clouds
286,The Valley,AI,18.217,-63.0578,79.83,80,100,15.66,overcast clouds
287,Shebalino,RU,51.2917,85.6772,45.54,34,11,9.08,few clouds
288,Innisfail,AU,-17.5333,146.0333,75.2,94,100,6.71,light rain
289,Nuuk,GL,64.1835,-51.7216,29.01,86,13,10.36,few clouds
290,Pauini,BR,-7.7136,-66.9764,72.84,92,100,0.36,overcast clouds
291,Camrose,CA,53.0168,-112.8353,43.93,53,8,11.01,clear sky
292,Lazaro Cardenas,MX,17.9583,-102.2,75.07,81,37,2.66,scattered clouds
293,Alofi,NU,-19.0595,-169.9187,75.09,94,100,4.61,overcast clouds
294,Alta Floresta,BR,-9.8756,-56.0861,68.61,97,40,2.39,scattered clouds
295,Klaksvik,FO,62.2266,-6.589,45.52,85,100,20.94,overcast clouds
296,Kalaleh,IR,37.3807,55.4916,60.4,94,100,4.61,overcast clouds
297,Farafangana,MG,-22.8167,47.8333,76.91,84,48,6.93,scattered clouds
298,Tazovskiy,RU,67.4667,78.7,20.57,84,13,8.59,few clouds
299,Saint-Pierre,RE,-21.3393,55.4781,82.08,57,0,5.75,clear sky
300,Phuket,TH,8.0,98.25,89.82,66,20,9.22,few clouds
301,Laguna,US,38.421,-121.4238,58.44,72,0,9.22,clear sky
302,Cedar City,US,37.6775,-113.0619,61.77,23,75,9.22,broken clouds
303,Belaya Gora,RU,68.5333,146.4167,26.8,73,100,1.5,overcast clouds
304,Nouakchott,MR,18.0858,-15.9785,69.73,72,93,13.62,overcast clouds
305,Stephenville,US,32.2207,-98.2023,78.93,81,0,12.66,clear sky
306,Bayan,CN,46.0833,127.4,63.12,20,0,10.96,clear sky
307,Linxia,CN,35.6003,103.2064,56.89,50,100,8.55,overcast clouds
308,Karasburg,NA,-28.0167,18.75,47.12,69,0,2.59,clear sky
309,Mitu,CO,1.1983,-70.1733,71.08,100,100,1.7,overcast clouds
310,Salvador,SV,13.8333,-88.9167,72.0,93,100,1.25,overcast clouds
311,Soe,ID,-9.8607,124.284,77.22,56,56,10.94,broken clouds
312,Nantucket,US,41.2835,-70.0995,48.34,86,100,20.71,overcast clouds
313,Murgab,TM,37.4966,61.9714,84.07,42,0,13.8,clear sky
314,Cleethorpes,GB,53.5605,-0.0323,49.93,76,40,8.05,scattered clouds
315,Fort Nelson,CA,58.8053,-122.7002,35.19,93,100,17.27,overcast clouds
316,Kavaratti,IN,10.5669,72.642,84.61,70,56,13.29,broken clouds
317,Beringovskiy,RU,63.05,179.3167,33.44,96,100,6.6,overcast clouds
318,Muroto,JP,33.2833,134.15,66.22,62,3,12.03,clear sky
319,Meulaboh,ID,4.1363,96.1285,84.49,71,100,6.29,overcast clouds
320,Taber,CA,49.8167,-112.1518,41.0,72,69,4.61,broken clouds
321,Deep River,CA,46.1001,-77.4995,32.95,79,0,1.52,clear sky
322,Wiarton,CA,44.7407,-81.1332,39.65,65,0,2.3,clear sky
323,Geraldton,AU,-28.7667,114.6,84.61,23,4,12.66,clear sky
324,Ahipara,NZ,-35.1667,173.1667,60.04,86,51,3.89,broken clouds
325,Praia,CV,14.9215,-23.5087,70.34,78,20,21.85,few clouds
326,San Ramon De La Nueva Oran,AR,-23.1322,-64.326,65.17,74,100,0.29,overcast clouds
327,Kastamonu,TR,41.5,33.6667,44.62,65,67,4.63,broken clouds
328,Dzaoudzi,YT,-12.7887,45.2699,85.89,70,0,5.75,clear sky
329,Buala,SB,-8.145,159.5921,81.14,83,88,8.43,light rain
330,Pasaje,EC,-3.3333,-79.8167,74.35,94,99,1.83,overcast clouds
331,Puerto Narino,CO,-3.7703,-70.3831,71.51,99,100,1.54,overcast clouds
332,Burgeo,CA,47.6167,-57.6152,33.42,69,0,8.86,clear sky
333,Prince Rupert,CA,54.3161,-130.3201,46.09,79,100,5.75,overcast clouds
334,Sabang,ID,5.8933,95.3214,83.62,70,100,8.08,overcast clouds
335,Znamenskoye,RU,57.1281,73.8282,50.13,66,95,7.29,overcast clouds
336,Mantua,IT,45.1667,10.7833,61.84,87,100,1.99,overcast clouds
337,Bonito,BR,-21.1211,-56.4819,57.9,85,0,1.74,clear sky
338,Kayerkan,RU,69.3497,87.7602,17.53,92,95,8.34,overcast clouds
339,Oranjestad,AW,12.524,-70.027,80.55,83,20,16.11,few clouds
340,Macau,MO,22.2006,113.5461,80.4,69,40,11.5,scattered clouds
341,Hualmay,PE,-11.0964,-77.6139,64.49,90,83,7.92,broken clouds
342,Lerwick,GB,60.1545,-1.1494,46.4,75,100,14.99,overcast clouds
343,Pisco,PE,-13.7,-76.2167,62.65,88,95,4.61,overcast clouds
344,Grand Gaube,MU,-20.0064,57.6608,82.38,66,41,10.0,scattered clouds
345,Manta,EC,-0.95,-80.7333,74.98,88,100,9.22,overcast clouds
346,Cabedelo,BR,-6.9811,-34.8339,74.07,86,63,8.72,broken clouds
347,Vila Franca Do Campo,PT,37.7167,-25.4333,65.19,91,83,4.88,broken clouds
