City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
228,Rjukan,NO,2022-05-03 03:03:27,59.8789,8.5941,32.04,82,34,6.31
229,Avera,US,2022-05-03 03:03:28,33.194,-82.5271,71.65,73,60,7.14
230,Caravelas,BR,2022-05-03 03:03:28,-17.7125,-39.2481,73.27,84,0,4.99
231,Cairns,AU,2022-05-03 03:03:29,-16.9167,145.7667,85.06,79,40,14.97
232,Noumea,NC,2022-05-03 03:03:29,-22.2763,166.4572,84.0,99,43,5.35
233,Lagos,NG,2022-05-03 03:03:30,6.5833,3.75,76.66,91,100,3.15
234,Timmins,CA,2022-05-03 03:00:07,48.4669,-81.3331,46.51,96,100,5.88
235,Balkhash,KZ,2022-05-03 03:03:31,46.844,74.9804,57.81,77,40,17.9
236,Dikson,RU,2022-05-03 03:03:31,73.5069,80.5464,10.22,93,100,12.62
237,Nuuk,GL,2022-05-03 03:03:23,64.1835,-51.7216,25.59,85,100,7.54
238,Palmer,US,2022-05-03 03:03:32,42.1584,-72.3287,49.24,84,100,1.01
239,Coahuayana,MX,2022-05-03 03:03:33,18.7333,-103.6833,72.57,73,100,1.88
240,Pacific Grove,US,2022-05-03 03:03:28,36.6177,-121.9166,56.82,77,70,18.99
241,Naze,JP,2022-05-03 03:03:34,28.3667,129.4833,68.31,50,100,8.52
242,Beira,MZ,2022-05-03 03:03:34,-19.8436,34.8389,68.99,88,71,10.13
243,San Pedro,PH,2022-05-03 03:03:35,14.35,121.0167,90.32,64,10,6.82
244,Aitape,PG,2022-05-03 03:03:35,-3.1374,142.3475,84.83,72,44,5.82
245,Wageningen,NL,2022-05-03 03:03:36,51.9667,5.6667,45.86,89,100,2.3
246,Nabisar,PK,2022-05-03 03:03:37,25.0685,69.6419,86.77,56,2,24.65
247,Ukiah,US,2022-05-03 03:03:25,39.1502,-123.2078,55.65,52,0,9.22
248,Aloleng,PH,2022-05-03 03:03:37,16.1307,119.7824,86.36,63,65,5.12
249,Bonwapitse,BW,2022-05-03 03:03:38,-23.0766,26.7037,54.41,69,0,4.74
250,Whyalla,AU,2022-05-03 03:03:38,-33.0333,137.5833,71.65,41,2,12.5
251,Benguela,AO,2022-05-03 03:03:39,-12.5763,13.4055,76.1,82,28,4.74
252,Lugovoy,KZ,2022-05-03 03:03:39,42.9472,72.7644,68.36,52,100,4.5
253,Terrace Bay,CA,2022-05-03 03:03:40,48.7834,-87.1,35.58,96,100,6.49
254,Ossora,RU,2022-05-03 03:03:41,59.2353,163.0719,32.76,93,13,3.31
255,Gamba,GA,2022-05-03 03:03:41,-2.65,10.0,77.02,91,100,3.27
256,Suisun City,US,2022-05-03 03:03:42,38.2382,-122.0402,64.62,54,31,8.19
257,Serpneve,UA,2022-05-03 03:03:42,46.3009,29.0196,47.17,65,91,2.28
258,Hamilton,US,2022-05-03 02:59:56,39.1834,-84.5333,63.45,69,100,4.61
259,Sturgis,US,2022-05-03 03:00:07,41.7992,-85.4192,52.07,89,0,3.44
260,Leninsk-Kuznetskiy,RU,2022-05-03 03:03:43,54.6567,86.1737,52.95,40,6,14.88
261,Arica,CL,2022-05-03 03:03:44,-18.475,-70.3042,63.0,84,27,5.06
262,Esil,KZ,2022-05-03 03:03:44,51.9556,66.4042,45.66,31,3,10.0
263,Nicoya,CR,2022-05-03 03:03:45,10.1483,-85.452,79.95,84,100,5.23
264,Rundu,NA,2022-05-03 03:03:45,-17.9333,19.7667,56.23,79,12,6.89
265,Resistencia,AR,2022-05-03 03:00:45,-27.4606,-58.9839,58.08,99,100,9.75
